epoch,train_loss,test_loss,test_acc,lr
1,0.30103729540374935,0.14123357231076214,0.9557,0.001
2,0.11038457985216779,0.09745424598823213,0.9702,0.001
3,0.07442989978797313,0.08645310549801037,0.9737,0.001
4,0.056017383555276024,0.06982043745725824,0.9785,0.001
5,0.04394541418946622,0.07891516136789656,0.9758,0.001
6,0.03614576683870689,0.08027577913524012,0.9766,0.001
7,0.03064490524901902,0.08085435346038139,0.9787,0.001
8,0.024758207286912342,0.09687480676525324,0.977,0.001
9,0.021279626940264737,0.09141487627160821,0.9764,0.001
10,0.01914140456347498,0.07952948813686284,0.9815,0.001
11,0.016171952376017353,0.08967754079195245,0.9806,0.001
12,0.016123540665588257,0.088291202621543,0.98,0.001
13,0.016073464793735493,0.08732796444523463,0.9795,0.001
14,0.014990374133047105,0.08622786520779219,0.9801,0.001
15,0.013018261193530289,0.09594675563772372,0.9803,0.001
16,0.009681974757796448,0.0838755485353292,0.983,0.001
17,0.010497168830761608,0.12030156431333966,0.9762,0.001
18,0.011379863282541116,0.10782378127036989,0.9781,0.001
19,0.010662014293144444,0.08851634684230977,0.9822,0.001
20,0.00827061460567018,0.08786798380858155,0.982,0.001
21,0.008652096467950395,0.11703841113787122,0.9778,0.001
22,0.009161979695948858,0.08120045753769908,0.984,0.001
23,0.006065218467163917,0.10656579579903722,0.9803,0.001
24,0.008938532583460003,0.09538548927278286,0.9822,0.001
25,0.007654204991203056,0.11435592403582939,0.9793,0.001
26,0.007451676266700495,0.1113645230213278,0.9806,0.001
27,0.007209947436344294,0.10266588259210338,0.9832,0.001
28,0.005069115872801708,0.10484606286173317,0.9811,0.001
29,0.009225283063998896,0.10716668087625454,0.9823,0.001
30,0.0065730237244968,0.11109510930819382,0.9797,0.001
31,0.008203434395128373,0.108169248521985,0.9808,0.001
32,0.005534873717733392,0.1006907379162918,0.9819,0.001
33,0.005885813248558215,0.1414037388424104,0.9792,0.001
34,0.007215834544572807,0.10699524006468975,0.9819,0.001
35,0.005127654158110093,0.12409599611004862,0.9807,0.001
36,0.0042310220391360565,0.12202358640444368,0.9831,0.001
37,0.007826978587287727,0.11059772019287802,0.98,0.001
38,0.006116984367558238,0.11345567280124104,0.9814,0.001
39,0.004010754832007195,0.13473730546246032,0.9791,0.001
40,0.005956354051659262,0.12061845629340301,0.9816,0.001
41,0.003467606640735405,0.10468766794121749,0.9842,0.001
42,0.004479543647502428,0.13231555932842093,0.9798,0.001
43,0.0033898669319297804,0.12175738661765545,0.9819,0.001
44,0.006127334410070111,0.1061424873413551,0.9836,0.001
45,0.0036939127151220793,0.10800475612757122,0.9838,0.001
46,0.0050984014349524116,0.1270034081307956,0.9809,0.001
47,0.005143625401950903,0.11637758159235906,0.9812,0.001
48,0.005528367928967517,0.12058476693146462,0.9822,0.001
49,0.003248350377119869,0.12255381248831725,0.9828,0.001
50,0.0050647230881097835,0.13097628618698054,0.9801,0.001
