epoch,train_loss,test_loss,test_acc,lr
1,0.333635111563285,0.15270113848909073,0.954,0.1
2,0.1303963890802592,0.1312201339662502,0.9627,0.1
3,0.09633028247792806,0.1130812332410607,0.9686,0.1
4,0.07783001356604033,0.09727962291762411,0.9724,0.1
5,0.06261209252905145,0.10326120621309902,0.9719,0.1
6,0.04992482036606956,0.108402717115293,0.9724,0.1
7,0.0496509217380135,0.12496001947156575,0.9714,0.1
8,0.048234333902934884,0.11455327159753677,0.9701,0.1
9,0.03481781361734126,0.09272202343261852,0.9779,0.1
10,0.03370353965035234,0.109553520883501,0.9763,0.1
11,0.036006071627609056,0.11980053107203228,0.9722,0.1
12,0.031035490770043594,0.10024618624352571,0.9796,0.1
13,0.028889074918703017,0.13113459518685133,0.9728,0.1
14,0.028112620718001708,0.11238147596031343,0.9764,0.1
15,0.026413674538061174,0.10994231573000103,0.9777,0.1
16,0.021169742773189913,0.09332077228072627,0.9792,0.1
17,0.021768252314478678,0.13199356783233543,0.9746,0.1
18,0.01914182203016899,0.11595945265376766,0.9789,0.1
19,0.021570858479280006,0.10773284782183387,0.9776,0.1
20,0.020393758548140378,0.12553724484927178,0.9784,0.1
21,0.015599554600903348,0.11546337926332027,0.9785,0.1
22,0.018499365797308022,0.14726172488332603,0.9752,0.1
23,0.017824750691262183,0.12019016311146029,0.9796,0.1
24,0.01815665588258759,0.12520772515972042,0.978,0.1
25,0.014937528495928892,0.1345182553916967,0.9779,0.1
26,0.01328287919938178,0.15123893517291256,0.9762,0.1
27,0.023803834409887193,0.1327269022207394,0.9779,0.1
28,0.024722310108784177,0.1380409729091983,0.977,0.1
29,0.020502169799935816,0.12963700951668816,0.9796,0.1
30,0.01768251850535771,0.1404593863835327,0.9783,0.1
31,0.013860349563961824,0.13162911997779705,0.9796,0.1
32,0.015238694423978733,0.13853484929255236,0.98,0.1
33,0.014605833373866992,0.12031083835696185,0.9811,0.1
34,0.010587440733916605,0.11699891405356906,0.9815,0.1
35,0.007781183547607916,0.14574432215562105,0.9809,0.1
36,0.009390190083509022,0.15912402073192777,0.9796,0.1
37,0.013393112705884945,0.17478326094117644,0.9759,0.1
38,0.01969497831537875,0.146994778635067,0.9789,0.1
39,0.014190781608574246,0.1435731239684186,0.9783,0.1
40,0.010621848816035047,0.16692430938828237,0.9802,0.1
41,0.015897481264760267,0.1525914265584028,0.9793,0.1
42,0.014964353040363535,0.14680240973526934,0.98,0.1
43,0.00948542238008051,0.15320008616614678,0.9799,0.1
44,0.007348318767622442,0.19509251211036052,0.9802,0.1
45,0.01804905829770356,0.135786055199385,0.9795,0.1
46,0.01170981157662039,0.14737143737758823,0.9796,0.1
47,0.007468647699670075,0.1738315326224815,0.9781,0.1
48,0.01021199298515642,0.1537488437566676,0.9801,0.1
49,0.008950384757134283,0.1708021568703664,0.9794,0.1
50,0.014454715244998426,0.16994962326454824,0.9801,0.1
