epoch,train_loss,test_loss,test_acc,lr
1,0.2977348348366093,0.16029067777073497,0.9546,0.1
2,0.12043072892847394,0.1370049231547779,0.9587,0.1
3,0.08869354883474466,0.10262811167635005,0.9707,0.1
4,0.07127492599410694,0.10261904199233769,0.9706,0.1
5,0.059594005263920106,0.1029039852369438,0.9735,0.1
6,0.05193066054381488,0.09346853759084905,0.9744,0.1
7,0.04469878807731123,0.09370066634375261,0.9762,0.1
8,0.04218677405405964,0.09418352982539795,0.9768,0.1
9,0.03741103022589598,0.08071964754194046,0.9799,0.1
10,0.03163315423420875,0.08587794330378529,0.9788,0.1
11,0.029918915261062412,0.104332231582833,0.9769,0.1
12,0.028678703341994908,0.09180856503083125,0.9789,0.1
13,0.022782927188012402,0.0895360413674822,0.9797,0.1
14,0.02449606131278603,0.11305308671564424,0.9786,0.1
15,0.027548264311192325,0.12721428159015105,0.9732,0.1
16,0.021815516074309496,0.1031429762810877,0.9784,0.1
17,0.023380432394805143,0.09931427209714003,0.9804,0.1
18,0.020028642830986855,0.12415764285861598,0.9763,0.1
19,0.018113429038555097,0.13663161392113032,0.977,0.1
20,0.018715133343890685,0.10704447083452821,0.9784,0.1
21,0.018713068352944996,0.1033246673303312,0.9787,0.1
22,0.014317643003289552,0.12482578993531644,0.9798,0.1
23,0.013858128934696524,0.11929691326837442,0.9783,0.1
24,0.016474217023929153,0.12028648239292919,0.979,0.1
25,0.00954810330802223,0.11960883156450826,0.9819,0.1
26,0.010326489700415324,0.1611467905474987,0.9776,0.1
27,0.018043305509000976,0.13542517258745193,0.9788,0.1
28,0.01739755722537067,0.1287615412815101,0.9773,0.1
29,0.012081775721610469,0.12852538069207556,0.9795,0.1
30,0.011087206299231885,0.12641523823138703,0.979,0.1
31,0.009140442344270661,0.1529349209895641,0.9784,0.1
32,0.01692109037698791,0.12364018755011676,0.9792,0.1
33,0.013319575221134685,0.14843954743531584,0.9779,0.1
34,0.015502111507780313,0.12908667433231538,0.9763,0.1
35,0.011989551863184721,0.13137851810575682,0.9761,0.1
36,0.008266984392262564,0.16133908059887042,0.9772,0.1
37,0.012242407373970149,0.13036984426650564,0.9807,0.1
38,0.006036922821703197,0.13463939759561663,0.9804,0.1
39,0.008260455018693795,0.1668486702720561,0.9762,0.1
40,0.011418801708870384,0.1573830677661469,0.9787,0.1
41,0.011937172023907407,0.13854535441274568,0.9773,0.1
42,0.015813268563434613,0.1174208765599993,0.9803,0.1
43,0.011902846496517794,0.1858164339948457,0.9755,0.1
44,0.010590761528615555,0.13715778257316724,0.9811,0.1
45,0.013969115497010994,0.14693877393646626,0.9798,0.1
46,0.009674933999258218,0.14630853253855586,0.9814,0.1
47,0.012741225306336191,0.15293719480198353,0.9773,0.1
48,0.010655442902601257,0.14323089804089792,0.9793,0.1
49,0.0075409853669347994,0.1618294453414058,0.9772,0.1
50,0.007833044692249467,0.16027962647356653,0.9782,0.1
