epoch,train_loss,test_loss,test_acc,lr
1,0.2562655508637365,0.22642586135845275,0.9352,0.001
2,0.10113354211351447,0.08535351827154886,0.9742,0.001
3,0.06849932811085953,0.08897674346422765,0.972,0.001
4,0.05050776726161656,0.085862031078302,0.9743,0.001
5,0.038321810986175,0.06891246049079224,0.9788,0.001
6,0.03079477322752433,0.0745669275849511,0.9804,0.001
7,0.024111318977537634,0.07652955796157776,0.9807,0.001
8,0.020820355330316374,0.08611002858106366,0.9797,0.001
9,0.018274389491846867,0.07785452783473461,0.9814,0.001
10,0.016012639537903155,0.08912687832287537,0.9801,0.001
11,0.013343329320517586,0.0906014599086627,0.981,0.001
12,0.012690844800116112,0.08386683510520648,0.9836,0.001
13,0.011406314083999594,0.13448246833953706,0.976,0.001
14,0.010761711795521139,0.10829411154859732,0.9802,0.001
15,0.010618378352853524,0.11580946309046931,0.9821,0.001
16,0.010163249836092824,0.10950004054820525,0.9803,0.001
17,0.009413288073356786,0.11728240718128366,0.9804,0.001
18,0.008442174520095677,0.11864167572294908,0.9795,0.001
19,0.008243799621663123,0.12116134261248569,0.9813,0.001
20,0.007733204115600723,0.10366183886783875,0.9828,0.001
21,0.006886862080601119,0.12889863022543588,0.9808,0.001
22,0.008304221261557304,0.11577968526843481,0.9814,0.001
23,0.006656617050960419,0.12711318363334703,0.9828,0.001
24,0.005614515285529779,0.1349571232117668,0.9821,0.001
25,0.007104242279018249,0.12583380309144968,0.9825,0.001
26,0.0069610552310467606,0.13921725765273837,0.981,0.001
27,0.005412957597799524,0.14027606423487193,0.9812,0.001
28,0.005225539186898563,0.15216635157689962,0.9805,0.001
29,0.005983756436485617,0.12665022688614724,0.9829,0.001
30,0.005579447518276632,0.16087066365374827,0.9782,0.001
31,0.005913669154798738,0.1484146810128786,0.9802,0.001
32,0.006518224395586752,0.14562933698702019,0.9821,0.001
33,0.0046031169708820275,0.15943258740662003,0.9826,0.001
34,0.005331059267180172,0.14124804694193624,0.9831,0.001
35,0.004955394039219654,0.17492812147082035,0.9817,0.001
36,0.006599109698124063,0.16202076961612477,0.9804,0.001
37,0.0053694555359456025,0.18370367005448998,0.9816,0.001
38,0.007106475896513884,0.16840654162021507,0.9798,0.001
39,0.003771304322451268,0.15578016803363617,0.9832,0.001
40,0.0032073009580443823,0.1920148351111735,0.9799,0.001
41,0.004509868711657411,0.17602148854935792,0.9809,0.001
42,0.0040017092287187,0.18519834561276707,0.9823,0.001
43,0.005600727875839107,0.22763214451330407,0.9776,0.001
44,0.0044820465096897695,0.17895496199209118,0.9822,0.001
45,0.005564557698505342,0.16189347415577166,0.9819,0.001
46,0.0038388829004638637,0.16257050466606593,0.9824,0.001
47,0.0036400953884904354,0.16903289246955377,0.9843,0.001
48,0.0038732507233843597,0.20520975062598482,0.9809,0.001
49,0.0038865415379050246,0.19044110458200333,0.9826,0.001
50,0.004767073003593718,0.19062377475277273,0.982,0.001
