epoch,train_loss,test_loss,test_acc,lr
1,0.30892382383441874,0.13742761592125627,0.9556,0.001
2,0.1155788555616207,0.09179327531849704,0.9713,0.001
3,0.07698189801693375,0.09144957187147307,0.9725,0.001
4,0.055303895860778364,0.11008433420374207,0.9659,0.001
5,0.04460728353684716,0.07537265125968698,0.979,0.001
6,0.03715066122853491,0.08463693435281065,0.9761,0.001
7,0.02895478601244761,0.09890655422735044,0.9763,0.001
8,0.02440256342146437,0.08597211273613278,0.9763,0.001
9,0.02055532820738892,0.11177330634252325,0.9737,0.001
10,0.018992673863191575,0.08148515676566893,0.9808,0.001
11,0.016640093431105302,0.0914080962704282,0.9787,0.001
12,0.014707877420946298,0.10286505131190114,0.9771,0.001
13,0.013844394366794436,0.08740163409385937,0.9807,0.001
14,0.015104180546892004,0.09589620608866857,0.9803,0.001
15,0.011341369984882336,0.09199644921290154,0.982,0.001
16,0.009355853494771256,0.10448595611821393,0.9795,0.001
17,0.011730520984949146,0.09498254341109737,0.9824,0.001
18,0.009603701443594802,0.1009909110550767,0.9813,0.001
19,0.010546223820891126,0.09633429196956006,0.9817,0.001
20,0.006992414146789151,0.11978522674424322,0.9778,0.001
21,0.01311756211259205,0.09289163347947153,0.9825,0.001
22,0.0061375398913885775,0.09040405119441645,0.9842,0.001
23,0.008573215968840583,0.10619940988697299,0.9806,0.001
24,0.0077362579037154695,0.0877147686408372,0.9822,0.001
25,0.008004109566720773,0.10364032485082808,0.9815,0.001
26,0.007834844337373758,0.09176195007651002,0.9835,0.001
27,0.0051167939991459835,0.10568800456607601,0.9811,0.001
28,0.009071128309213222,0.08755557479444756,0.9833,0.001
29,0.005718687606384229,0.09838244319576224,0.9824,0.001
30,0.006317953683684288,0.12663791815870062,0.9804,0.001
31,0.0062907923498719135,0.1023964522607155,0.983,0.001
32,0.00559941851162857,0.11201692735898604,0.9832,0.001
33,0.006563196831526259,0.11789047510533293,0.9829,0.001
34,0.006682179050855431,0.1056088615778649,0.9835,0.001
35,0.006506550331275013,0.09124657416519882,0.9833,0.001
36,0.005013143762383356,0.09813923330776869,0.9848,0.001
37,0.003961961276110049,0.1350943317596717,0.979,0.001
38,0.006478933790677121,0.12323688687032269,0.9812,0.001
39,0.0074434482355206525,0.09463149320785962,0.9837,0.001
40,0.0034570281646074496,0.10141471298049752,0.9842,0.001
41,0.004797463191141323,0.10720619373444262,0.9832,0.001
42,0.0049000180961753384,0.11884961477082318,0.983,0.001
43,0.005613389064210006,0.11086412859402046,0.9824,0.001
44,0.004417842870976098,0.11927830707086519,0.9825,0.001
45,0.0058868504084539485,0.11230349091552458,0.9823,0.001
46,0.002856608711833635,0.12260985668890137,0.9817,0.001
47,0.0035854611335501755,0.14177711921421154,0.9808,0.001
48,0.006941236344683907,0.10736171579794314,0.9856,0.001
49,0.0026361800981691027,0.12171409498772665,0.9831,0.001
50,0.008214529372477889,0.10879017592084418,0.9846,0.001
51,0.0019255705638829422,0.10194094308797341,0.9854,0.001
52,0.005054927996525108,0.10911799968127203,0.9832,0.001
53,0.0019357817502293363,0.10918643398189928,0.9846,0.001
54,0.003771897531915344,0.15220757823184536,0.9785,0.001
55,0.005185963517780007,0.1223223534872065,0.9828,0.001
56,0.005602608078039839,0.11506335273540426,0.9818,0.001
57,0.0018231137352681553,0.10906626707425787,0.9847,0.001
58,0.0011898691872716137,0.1198576132702364,0.9835,0.001
59,0.007538966296848271,0.16531013875023207,0.9779,0.001
60,0.0041866774692882,0.1170741293358464,0.9852,0.001
61,0.0014815049467519084,0.13352842473834198,0.9832,0.001
62,0.005999867085759032,0.11903944876274182,0.982,0.001
63,0.0018779348118792155,0.17629022112508858,0.9775,0.001
64,0.005529963020781116,0.13320290259707093,0.9839,0.001
65,0.002683976250362663,0.12182678355162521,0.9843,0.001
66,0.0015724642687883173,0.11809567943829098,0.9856,0.001
67,0.004620165003157488,0.13389985278725006,0.9806,0.001
68,0.002979079350687278,0.127789070866072,0.984,0.001
69,0.004715335094174245,0.1439551828295186,0.9828,0.001
70,0.0021299892787824434,0.14346460206150202,0.9848,0.001
71,0.004715209185306035,0.1600537089492946,0.9804,0.001
72,0.004097470372921365,0.12844258611422665,0.9844,0.001
73,0.0008795919522874347,0.18717933502847253,0.9795,0.001
74,0.00500084880993198,0.13837065812753882,0.9825,0.001
75,0.0025475277159426046,0.13388853697967834,0.9844,0.001
76,0.001509435323339381,0.12211596388417938,0.9856,0.001
77,7.7773704751616e-05,0.12789940283830437,0.9852,0.001
78,1.3899106900645164e-05,0.13038510384029095,0.9856,0.001
79,4.363544172378802e-06,0.13077703327420853,0.9859,0.001
80,2.2765454468229264e-06,0.1324450202136266,0.9861,0.001
81,1.4489476759850289e-06,0.13445726695212257,0.9861,0.001
82,9.242764115691753e-07,0.1366612599620361,0.9861,0.001
83,5.91892736518362e-07,0.13916210400241805,0.9862,0.001
84,3.658527309290249e-07,0.14196013747349265,0.9862,0.001
85,2.2842936713389568e-07,0.1449884592497648,0.9862,0.001
86,1.4000317201032237e-07,0.1483829629552432,0.9864,0.001
87,8.433167785273181e-08,0.1520494480283188,0.9862,0.001
88,4.939726711787467e-08,0.15591061960974323,0.9863,0.001
89,2.8741760363920704e-08,0.16057904975353277,0.9862,0.001
90,1.603498589700902e-08,0.16493745672018584,0.9862,0.001
91,8.961733009319374e-09,0.17024747907425586,0.9861,0.001
92,5.053761431017095e-09,0.17524696660631914,0.9861,0.001
93,2.869425362444025e-09,0.17992456347084726,0.986,0.001
94,1.6561253654881498e-09,0.184323846705164,0.986,0.001
95,9.86923741853704e-10,0.1884822759336904,0.9861,0.001
96,5.460845984124864e-10,0.19204706424056953,0.9863,0.001
97,3.1573619518461497e-10,0.1955396110150382,0.9863,0.001
98,1.9857622736391524e-10,0.19893751999345968,0.9862,0.001
99,8.141625386190365e-11,0.20185371891185971,0.9861,0.001
100,3.9715246017242103e-11,0.20458387746740944,0.9861,0.001
