epoch,train_loss,test_loss,test_acc,lr
1,0.257735432367891,0.126841474516513,0.9609,0.001
2,0.10104689027355519,0.11194558545300488,0.9649,0.001
3,0.06805183565783213,0.08849536392605674,0.9739,0.001
4,0.051544918396722664,0.08629619249974668,0.9747,0.001
5,0.040053205314691295,0.07673048527434569,0.9785,0.001
6,0.03202362459673331,0.08254402700665549,0.9767,0.001
7,0.026210327590876846,0.07294768722893388,0.9817,0.001
8,0.021324487835442687,0.08769549542509716,0.9803,0.001
9,0.01870602736811622,0.08503708860764458,0.9815,0.001
10,0.016407063874394924,0.1151593773571876,0.9777,0.001
11,0.01483249448644794,0.08780151524472707,0.982,0.001
12,0.014035208412507291,0.08526983578961345,0.9822,0.001
13,0.011345081709415259,0.09910954203819326,0.9826,0.001
14,0.011480997551592521,0.126098158458552,0.9759,0.001
15,0.009259914233338464,0.10442825349780771,0.9804,0.001
16,0.010833231561497509,0.11893168567459475,0.9785,0.001
17,0.008826355562617945,0.10975098512698016,0.9812,0.001
18,0.00805463830078046,0.12270219000128788,0.9826,0.001
19,0.008006446878102199,0.11453191670511167,0.981,0.001
20,0.008277446884510464,0.1277623394602005,0.9806,0.001
21,0.007148985227136395,0.15196356269837033,0.9773,0.001
22,0.008072399292498549,0.13468087092714479,0.9826,0.001
23,0.006854315131782967,0.13503421269268295,0.9824,0.001
24,0.005991662328659758,0.1534945088083888,0.9812,0.001
25,0.005699940008203922,0.13363202168240226,0.982,0.001
26,0.006034650384197012,0.1424318425999206,0.9809,0.001
27,0.006378045487445834,0.126692826363533,0.9831,0.001
28,0.006960980495197007,0.1553325058537807,0.9815,0.001
29,0.00487224792130385,0.13980726739948388,0.9817,0.001
30,0.005360528289329032,0.17044771013671917,0.9807,0.001
31,0.005567628680500485,0.15468042807853918,0.9813,0.001
32,0.006420593358592656,0.14275125965101604,0.9817,0.001
33,0.005983563722877252,0.1407537770372128,0.9819,0.001
34,0.004837661375228096,0.1846814208970684,0.9798,0.001
35,0.005945872313004233,0.16454859375047554,0.9823,0.001
36,0.005177654310065646,0.19198143935242312,0.9801,0.001
37,0.006287178496847765,0.16170470319447583,0.9828,0.001
38,0.005305849415726928,0.16789344703195305,0.9824,0.001
39,0.0052812261315663715,0.15392276483893214,0.9831,0.001
40,0.004080353678801441,0.18053144832964654,0.9815,0.001
41,0.004162503702841123,0.20757034869539384,0.98,0.001
42,0.004482712670935217,0.19828865491355935,0.9811,0.001
43,0.004059937949374158,0.21039348255828455,0.9814,0.001
44,0.005886782151021438,0.18235997563591072,0.9808,0.001
45,0.003592692330001021,0.17971338587046598,0.9833,0.001
46,0.003877085831609052,0.20637477582143474,0.9821,0.001
47,0.005036981082694682,0.21640545416176965,0.9812,0.001
48,0.002908814479105056,0.21393074640714893,0.9808,0.001
49,0.0035661260126308245,0.23300455695008618,0.9812,0.001
50,0.004149781636944191,0.19491691231804928,0.9831,0.001
51,0.00433862112217167,0.2223965330335509,0.981,0.001
52,0.005143049201864359,0.20040097770661588,0.9823,0.001
53,0.0031357000630497234,0.23842627214431292,0.9818,0.001
54,0.004579850854970923,0.1961184131527877,0.9825,0.001
55,0.005320522927738368,0.25987425973803574,0.9806,0.001
56,0.004429191727878656,0.24815334550624066,0.9799,0.001
57,0.003933626068952292,0.22189194326369005,0.9821,0.001
58,0.0040431604181741755,0.23260083175467686,0.9823,0.001
59,0.003278611084362816,0.21673696130932366,0.983,0.001
60,0.004067497275392201,0.26264416262397927,0.9823,0.001
61,0.00494769469563992,0.22563192738421767,0.9826,0.001
62,0.003858469162273159,0.2341354632005881,0.9825,0.001
63,0.0029606785541988986,0.267022562416377,0.9813,0.001
64,0.004512881521116285,0.25363901088387886,0.9821,0.001
65,0.003482884221625408,0.24108677846267693,0.9818,0.001
66,0.004769696747501095,0.22438519982838306,0.9825,0.001
67,0.003082316086187232,0.23442364497834528,0.9841,0.001
68,0.004870788148557363,0.23771954489191235,0.9824,0.001
69,0.004845963181558365,0.20713046242268082,0.9832,0.001
70,0.0026121159776238247,0.28792383968526225,0.9818,0.001
71,0.0030467137810653595,0.25447482963002194,0.9819,0.001
72,0.004132455964813773,0.25950619784385737,0.9828,0.001
73,0.003509110131251496,0.23405892474538098,0.9841,0.001
74,0.004349041964566129,0.24780223256216544,0.9826,0.001
75,0.003267638137611135,0.2488023429592486,0.9824,0.001
76,0.0048166495096189765,0.2629019431152059,0.9818,0.001
77,0.0034742349738414824,0.24037343741472966,0.9834,0.001
78,0.003703281943113763,0.2635431963748372,0.9826,0.001
79,0.002291541439906679,0.283032398781433,0.9818,0.001
80,0.005405054509285913,0.26445664365339905,0.9827,0.001
81,0.0027722309203366824,0.2742675154511297,0.9819,0.001
82,0.0035854047063718438,0.2700642935179237,0.9828,0.001
83,0.0043426621554095044,0.3136220107343324,0.9813,0.001
84,0.00412099627060647,0.3056625413218327,0.9809,0.001
85,0.003961721762528155,0.347161133256332,0.9799,0.001
86,0.0024568807241210143,0.3756643972510713,0.9803,0.001
87,0.003334587568723135,0.2832866990421417,0.9828,0.001
88,0.0022283028837087895,0.3176331770898267,0.9825,0.001
89,0.004714895472856715,0.290121988947986,0.9831,0.001
90,0.004238083651187636,0.2740032027776696,0.9834,0.001
91,0.003211150561954647,0.30859701182802696,0.9811,0.001
92,0.0032590980210798616,0.3008914293642062,0.9818,0.001
93,0.0035882629499063125,0.2973827003487164,0.9834,0.001
94,0.0033749808449889986,0.25551107319950145,0.9845,0.001
95,0.0030745021490375013,0.29812632800828565,0.9832,0.001
96,0.0027190504416792216,0.3200794503194941,0.9829,0.001
97,0.003293019620568628,0.30357434198602057,0.9827,0.001
98,0.003052490839543712,0.34466775871159616,0.9804,0.001
99,0.00351485732367351,0.2623157311605079,0.9823,0.001
100,0.003415711529100108,0.29721883057142706,0.9829,0.001
