epoch,train_loss,test_loss,test_acc,lr
1,0.6692794458205893,0.5724409339344425,0.8516,0.1
2,0.16634623605464058,0.13285350046939198,0.9573,0.1
3,0.10755293755861584,0.13723712337980415,0.9564,0.1
4,0.07859185535802261,0.091409597029779,0.9715,0.1
5,0.06110834807623178,0.07372917390408464,0.9752,0.1
6,0.04937658314905894,0.06402758443390708,0.9798,0.1
7,0.03921598446452921,0.0659640557846354,0.9792,0.1
8,0.0303573136053198,0.07144933135790849,0.9803,0.1
9,0.025829863294448727,0.07070905580904607,0.9803,0.1
10,0.019717977478769348,0.08867754908784078,0.9727,0.1
11,0.014874712607862035,0.0708839493527657,0.9803,0.1
12,0.012585408567425621,0.07104368612506118,0.982,0.1
13,0.00766333256811575,0.06780726919884604,0.9826,0.1
14,0.007711602794535487,0.08272539538534524,0.9779,0.1
15,0.004944251934293226,0.07568146831837273,0.9819,0.1
16,0.0037775001193139125,0.08030692968075319,0.9808,0.1
17,0.0021340918919101155,0.07268191877700568,0.9831,0.1
18,0.0011443922717790905,0.07319696569919276,0.9839,0.1
19,0.000897623474951943,0.07592970980833495,0.9832,0.1
20,0.0006910882890110042,0.07608585475165255,0.9839,0.1
21,0.0005746674758509214,0.07634675343113173,0.9834,0.1
22,0.0004609236779353973,0.07675877802607431,0.9839,0.1
23,0.00039285136484498083,0.07849600141330483,0.9829,0.1
24,0.0003480750017979808,0.07903698904074563,0.9832,0.1
25,0.00031414122432014177,0.07954532202180406,0.9832,0.1
26,0.0002877959910818406,0.08028196571583422,0.9835,0.1
27,0.00026794927569461267,0.08056483301324752,0.9838,0.1
28,0.0002488518248341287,0.08122438761888476,0.9837,0.1
29,0.00023309259066916558,0.08190128580409116,0.9835,0.1
30,0.00022044558104406567,0.08218887298225927,0.9836,0.1
31,0.0002070622159949516,0.08290331294198433,0.9831,0.1
32,0.00019643489322033482,0.08352698685567293,0.9833,0.1
33,0.0001853642279151408,0.08355469144086675,0.9835,0.1
34,0.00017678375082995655,0.0837595331404875,0.9835,0.1
35,0.00016911798121397405,0.0842166623286621,0.9835,0.1
36,0.000161124018362799,0.08495657733825031,0.9834,0.1
37,0.00015387018633256194,0.08529981017804103,0.9832,0.1
38,0.00014757971524986542,0.08556225282795488,0.9832,0.1
39,0.00014198830979130492,0.08603902217833503,0.9836,0.1
40,0.00013666803824534819,0.08627551202286432,0.9836,0.1
41,0.00013144562116515284,0.08663626573995763,0.9835,0.1
42,0.000126869297038598,0.08695855969361214,0.9835,0.1
43,0.00012238133496196755,0.08750156197132329,0.9833,0.1
44,0.00011820875806952128,0.08735510141640325,0.9834,0.1
45,0.00011438476063201704,0.08777354140792844,0.9836,0.1
46,0.00011085402801022524,0.08803508135197592,0.9835,0.1
47,0.00010711095345890972,0.08828061207009932,0.9835,0.1
48,0.00010415399409268662,0.08863550194964058,0.9834,0.1
49,0.00010094096321983471,0.0888560279700432,0.9834,0.1
50,9.775150620982564e-05,0.08935283715256759,0.9834,0.1
