epoch,train_loss,test_loss,test_acc,lr
1,0.31583429369797456,0.15141945913475552,0.954,0.001
2,0.11414218988460201,0.09539199589713103,0.9707,0.001
3,0.07552499022123331,0.07398847644632552,0.9764,0.001
4,0.05537557190081585,0.08462204053695091,0.9728,0.001
5,0.04391958558947336,0.07682304535623548,0.9775,0.001
6,0.03285233200250838,0.07444519570935591,0.9767,0.001
7,0.028784690335409584,0.07601800344526252,0.9804,0.001
8,0.023276937708108705,0.0745068692581965,0.9793,0.001
9,0.020562828511143275,0.07640362769802053,0.9812,0.001
10,0.020008178453719553,0.09180791631707466,0.9782,0.001
11,0.01709548497515078,0.10481516645586453,0.9752,0.001
12,0.014505202746863058,0.08239418206503933,0.9808,0.001
13,0.015618767574429699,0.0936918933501286,0.9781,0.001
14,0.013309563047904623,0.08300637875874098,0.9803,0.001
15,0.012354249053531483,0.09204716816132757,0.9799,0.001
16,0.01358144811070245,0.0984290382696304,0.9768,0.001
17,0.008668088774778655,0.08668694268817073,0.9808,0.001
18,0.011372606976875395,0.0879080149568627,0.9809,0.001
19,0.009312679167849372,0.10092346234189067,0.979,0.001
20,0.008237184707295184,0.09192294629776376,0.9791,0.001
21,0.008757822024809007,0.11495859199003114,0.9774,0.001
22,0.01136785790555244,0.09105674958344831,0.981,0.001
23,0.009162687359514306,0.10143728647527629,0.9791,0.001
24,0.006586539089255075,0.08134580520115373,0.9827,0.001
25,0.009223414304535311,0.08851780117047375,0.9819,0.001
26,0.007991664971677697,0.10022888212542394,0.9796,0.001
27,0.005961768594183904,0.10363510337074953,0.9798,0.001
28,0.009716207674926546,0.1059756026430256,0.9778,0.001
29,0.006178555941483246,0.0937534749941619,0.9824,0.001
30,0.009022129814289721,0.09772267902641919,0.9801,0.001
31,0.006849098393685495,0.1310338121572674,0.9745,0.001
32,0.00689666289659864,0.0873696344327806,0.9831,0.001
33,0.005608743366618214,0.1017633974843082,0.9811,0.001
34,0.009190180217833712,0.09945752585215692,0.9807,0.001
35,0.005059471274491224,0.10850444990120146,0.9811,0.001
36,0.005827987846636866,0.11832142040131037,0.9762,0.001
37,0.0057976652136041,0.08433755027457117,0.9838,0.001
38,0.005683611609147606,0.08298827319843087,0.9823,0.001
39,0.006967243409917622,0.08572725466263405,0.982,0.001
40,0.004260689686769936,0.087930867587041,0.983,0.001
41,0.00714269238155253,0.12333844321298476,0.9769,0.001
42,0.005651554324205198,0.10391129137484437,0.9814,0.001
43,0.006354991528725652,0.10163869754063778,0.9828,0.001
44,0.001959112577470332,0.09888009461117438,0.9811,0.001
45,0.008069778480979506,0.0859036932901853,0.982,0.001
46,0.0051645527089326385,0.10952739477346957,0.9809,0.001
47,0.00598206169917039,0.08713291924397062,0.9827,0.001
48,0.006270504841559368,0.09927438102437813,0.9809,0.001
49,0.003136192639952267,0.09645796867261268,0.9822,0.001
50,0.00608585974901165,0.10526210068212043,0.9799,0.001
51,0.0063919315023843,0.10183895843883976,0.9793,0.001
52,0.005482661050958967,0.0887696996790035,0.9833,0.001
53,0.00425602895133548,0.09162260286916213,0.9837,0.001
54,0.004262747488867335,0.10077357886315053,0.9816,0.001
55,0.006322157587599845,0.09482840911707256,0.9826,0.001
56,0.0050364605410210365,0.0947312112786354,0.9837,0.001
57,0.004884394758593906,0.0994242591556809,0.9817,0.001
58,0.0052429722632157125,0.09652874228244339,0.982,0.001
59,0.003333955632372771,0.11150425151963275,0.9802,0.001
60,0.0055598199513984745,0.09789214421780842,0.9827,0.001
