epoch,train_loss,test_loss,test_acc,lr
1,0.3314540946790611,0.14423576008030184,0.9579,0.1
2,0.12709463736725482,0.13073058891967296,0.9633,0.1
3,0.0952093672704325,0.10968801869186247,0.9695,0.1
4,0.07888823987465343,0.09341374959701755,0.9727,0.1
5,0.06335989008784226,0.10741049028599559,0.9708,0.1
6,0.05620815103036115,0.10584319059364516,0.973,0.1
7,0.04819648617200046,0.10190659487820386,0.9736,0.1
8,0.04936901988067998,0.10582725951576177,0.9739,0.1
9,0.038735712868430694,0.10535162682892035,0.9752,0.1
10,0.03757528102191837,0.09293861054318733,0.9778,0.1
11,0.034187053157853635,0.10379196903875036,0.9767,0.1
12,0.030259871430824474,0.10272893851134587,0.9788,0.1
13,0.029294177307272195,0.11992871830695323,0.9763,0.1
14,0.025327392560683212,0.10864263509905028,0.9802,0.1
15,0.027500735628263565,0.1085253131928581,0.9764,0.1
16,0.018419737532626358,0.10712753078117022,0.9806,0.1
17,0.022780688090359477,0.11118979449883123,0.9787,0.1
18,0.023724237247806458,0.11494325059908278,0.9783,0.1
19,0.01947524876284317,0.14188981663392022,0.9773,0.1
20,0.02528492754677565,0.14108305389941753,0.978,0.1
21,0.01797970092129343,0.11933297877548123,0.978,0.1
22,0.01880337406182739,0.12784824411363768,0.9814,0.1
23,0.021645826974950506,0.12338050153202786,0.9764,0.1
24,0.02002240591813338,0.1343383312339382,0.9763,0.1
25,0.020479699189423203,0.12060965203549404,0.9799,0.1
26,0.018046455058966616,0.12040084766087167,0.9809,0.1
27,0.016270058846248357,0.16191551968203366,0.9775,0.1
28,0.015665089699149003,0.13357810659638994,0.9803,0.1
29,0.01509804009286264,0.17733867125678632,0.9767,0.1
30,0.013100666450626287,0.14002853345066474,0.9809,0.010000000000000002
31,0.0036011742690622377,0.12953293849866923,0.9828,0.010000000000000002
32,0.0008765656434784139,0.12978519920306084,0.9833,0.010000000000000002
33,0.0005591251857073088,0.13124435031483755,0.9835,0.010000000000000002
34,0.0004423045396462168,0.13268810339421674,0.9835,0.010000000000000002
35,0.00037464490954714375,0.13393117063276785,0.9835,0.010000000000000002
36,0.0003296322226388203,0.13513327714518014,0.9834,0.010000000000000002
37,0.0002973745935935945,0.13618121142991016,0.9834,0.010000000000000002
38,0.00027202663868637085,0.13712117410938435,0.9835,0.010000000000000002
39,0.0002525680072251678,0.13805874274023092,0.9835,0.010000000000000002
40,0.00023614224627840758,0.1388990552051719,0.9835,0.010000000000000002
41,0.0002223090328209174,0.1397861977535158,0.9836,0.010000000000000002
42,0.00021036399309374353,0.1405414195162168,0.9836,0.010000000000000002
43,0.00020016404593131012,0.14127089048225186,0.9838,0.010000000000000002
44,0.00019079998229004646,0.14199960606864695,0.9838,0.010000000000000002
45,0.00018236414574051112,0.14268374000367204,0.9838,0.010000000000000002
