epoch,train_loss,test_loss,test_acc,lr
1,0.5349410457967488,0.15608513635170948,0.9513,0.1
2,0.1228941567981842,0.13882277123251882,0.958,0.1
3,0.08912804313917468,0.10671047096501793,0.9677,0.1
4,0.06942895583427156,0.121291033883585,0.9649,0.1
5,0.055694763666266564,0.10316820289533857,0.9714,0.1
6,0.0458735164646099,0.10469073627665372,0.9708,0.1
7,0.0380669487338674,0.10382605076772232,0.9725,0.1
8,0.031442680269081855,0.09740279691114392,0.9748,0.1
9,0.02573625513555746,0.10597486172575407,0.9736,0.1
10,0.0208567356768054,0.11133154722875199,0.9734,0.1
11,0.01692717264168464,0.11631218845852756,0.9745,0.1
12,0.014407517386628517,0.11338534081578415,0.975,0.1
13,0.01219691242699994,0.12710202890965988,0.9719,0.1
14,0.009440963507045232,0.12788666223642686,0.9738,0.1
15,0.007547594316287968,0.13675384692653828,0.974,0.1
16,0.005949098875718656,0.12934421418285558,0.9745,0.1
17,0.004562883192771,0.1363558927015133,0.9748,0.1
18,0.003235023298924937,0.13579375763311446,0.9754,0.1
19,0.0027127497461929134,0.1430136957696343,0.9747,0.1
20,0.0020916276987197144,0.14703290566611116,0.9741,0.1
