epoch,train_loss,test_loss,test_acc,lr
1,0.31894582588432124,0.1584563581777179,0.95,0.001
2,0.1193570551474386,0.12332882011045293,0.9612,0.001
3,0.08256081344216251,0.08485993978850674,0.9733,0.001
4,0.05902223190593559,0.08037431159708872,0.9756,0.001
5,0.04616580191522594,0.08283367167587709,0.975,0.001
6,0.03690037178036981,0.09014369594906442,0.975,0.001
7,0.029324744958035238,0.08261595706528262,0.9763,0.001
8,0.02821603579855182,0.08052285350402216,0.9785,0.001
9,0.020307123224553615,0.09412588420537718,0.9773,0.001
10,0.020043576215824813,0.07398121883407682,0.9811,0.001
11,0.016647656551980316,0.08183551815784468,0.9785,0.001
12,0.01622177134742009,0.10954343417860846,0.9763,0.001
13,0.01586293688815824,0.09698518042698231,0.9778,0.001
14,0.011892662306116937,0.10472226081281545,0.9767,0.001
15,0.012217086835220653,0.0858957178857108,0.9803,0.001
16,0.012297828893106696,0.07989748382812185,0.9817,0.001
17,0.009047244651594271,0.1089776355673173,0.9793,0.001
18,0.010802254525355565,0.10669815162460566,0.9787,0.001
19,0.01107913487812005,0.10219678402577756,0.9792,0.001
20,0.008929693290826865,0.12240423466538293,0.977,0.001
