epoch,train_loss,test_loss,test_acc,lr
1,0.30459260382552517,0.1716068306890358,0.9485,0.001
2,0.11316865197480169,0.0976318614186636,0.9686,0.001
3,0.07688732056874535,0.08859488783681552,0.9724,0.001
4,0.056794797666797806,0.08631302132196153,0.9734,0.001
5,0.045324375213216694,0.07903319737276324,0.9762,0.001
6,0.03617810235055449,0.09463394037730566,0.9719,0.001
7,0.029200321161787637,0.0859790569301118,0.9758,0.001
8,0.025502262508631083,0.07974750334157941,0.9792,0.001
9,0.02203494789725011,0.08710071531689377,0.9772,0.001
10,0.019577288741360607,0.0800990907301077,0.979,0.001
11,0.017390738490663304,0.09570837941587951,0.9761,0.001
12,0.015574708658171156,0.08126314608970153,0.9805,0.001
13,0.015007278577871987,0.08356089546790027,0.982,0.001
14,0.012126274103114471,0.10482852175067484,0.9778,0.001
15,0.015354685850433016,0.10349938295501337,0.9779,0.001
16,0.011737416207943325,0.10054910761249294,0.976,0.001
17,0.013152983350296275,0.09254212889736171,0.9801,0.001
18,0.009352598012792694,0.08517242551626397,0.9824,0.001
19,0.01163618938369406,0.09751924236986112,0.9811,0.001
20,0.010879569997480609,0.09719815220653794,0.9795,0.001
