epoch,train_loss,test_loss,test_acc,lr
1,0.3269450330157588,0.13400447073950178,0.9596,0.1
2,0.13153301269115844,0.14859730932063714,0.9583,0.1
3,0.09166761702904577,0.09694406372560989,0.9713,0.1
4,0.07376178880549793,0.09340935368545963,0.9725,0.1
5,0.06761208353085078,0.10846646002454499,0.9695,0.1
6,0.05696740969097421,0.09092278436216886,0.9754,0.1
7,0.04761011858012709,0.08799282203311058,0.976,0.1
8,0.041013351978178215,0.08099226764065455,0.9798,0.1
9,0.03844415515955288,0.10525863155018936,0.9744,0.1
10,0.03152204444101751,0.11584247767814594,0.9748,0.1
11,0.037544784009939144,0.1147176525034706,0.9762,0.1
12,0.030991087655807017,0.09110769088075159,0.9808,0.1
13,0.021888102620883913,0.09561293884518114,0.9782,0.1
14,0.026846130307025855,0.10100959985825454,0.9784,0.1
15,0.022901399090580317,0.10612056456405554,0.976,0.1
16,0.021428985874018237,0.08688744165027303,0.9812,0.1
17,0.023631055490914692,0.1242755073484281,0.9765,0.1
18,0.024141140966859122,0.12170003316961063,0.9758,0.1
19,0.02614260785277619,0.11999956087752318,0.9766,0.1
20,0.019369575090171457,0.114105744241394,0.9781,0.1
