epoch,train_loss,test_loss,test_acc,lr
1,0.3001242832385941,0.19950177458375928,0.9474,0.1
2,0.11993512563652663,0.1370655098150686,0.9626,0.1
3,0.08970810624392037,0.13454010526228483,0.9605,0.1
4,0.07073244721907229,0.09160268841139678,0.9744,0.1
5,0.06427402816691634,0.09593722370106898,0.973,0.1
6,0.0510556932719266,0.0995308509161199,0.9755,0.1
7,0.05038406754713761,0.10019890126824547,0.9754,0.1
8,0.04573793718142674,0.09056647212395211,0.9771,0.1
9,0.03807022462206078,0.09901278555952077,0.976,0.1
10,0.029433209965812574,0.10623867252146228,0.9755,0.1
11,0.028561100571598434,0.1424173760135299,0.9705,0.1
12,0.028442180003375683,0.1085570781503671,0.9772,0.1
13,0.031035008569040515,0.09655474193472702,0.9797,0.1
14,0.026292966495326576,0.08833351212120807,0.9773,0.1
15,0.02487395827756312,0.11697907665973284,0.9774,0.1
16,0.020994542383188115,0.13886152792848122,0.9769,0.1
17,0.027692876749987685,0.11584951187655775,0.979,0.1
18,0.020843225984157072,0.10636024934334783,0.9781,0.1
19,0.015013719505047887,0.1055134836915206,0.9813,0.1
20,0.021712723744374125,0.09468247864377344,0.9801,0.1
