epoch,train_loss,test_loss,test_acc,lr
1,0.2517047106737156,0.163471879956615,0.9477,0.001
2,0.09896653188245573,0.08355453933973257,0.9733,0.001
3,0.06661502005103459,0.08174442665953231,0.9742,0.001
4,0.05011439697518111,0.09191858480539125,0.9735,0.001
5,0.038844688968361366,0.08659067652951985,0.9758,0.001
6,0.03037504229872641,0.07264876307961424,0.9793,0.001
7,0.0252665697043529,0.08279151056583965,0.9784,0.001
8,0.020687528188122677,0.09846609727363068,0.9789,0.001
9,0.01746921630151548,0.09731851721208684,0.9779,0.001
10,0.01671654438005057,0.07999820179163385,0.982,0.001
11,0.013054921572662305,0.10495319353859497,0.9801,0.001
12,0.012986754080566048,0.09658348089751424,0.9812,0.001
13,0.012800562362982033,0.09847320635187388,0.9814,0.001
14,0.010334596363478636,0.10339803255503029,0.9804,0.001
15,0.009726914594972887,0.11160921795784665,0.9816,0.001
16,0.009705262068926418,0.10896369177122883,0.9809,0.001
17,0.009069393187838571,0.11482801086586768,0.9799,0.001
18,0.00804720941049164,0.12063564066868078,0.9819,0.001
19,0.007507152442520552,0.12434161919589319,0.9808,0.001
20,0.008727921819531009,0.1313938271803431,0.9797,0.001
