epoch,train_loss,test_loss,test_acc,lr
1,0.6692794458205893,0.5724409339344425,0.8516,0.1
2,0.16634623605464058,0.13285350046939198,0.9573,0.1
3,0.10755293755861584,0.13723712337980415,0.9564,0.1
4,0.07859185535802261,0.091409597029779,0.9715,0.1
5,0.06110834807623178,0.07372917390408464,0.9752,0.1
6,0.04937658314905894,0.06402758443390708,0.9798,0.1
7,0.03921598446452921,0.0659640557846354,0.9792,0.1
8,0.0303573136053198,0.07144933135790849,0.9803,0.1
9,0.025829863294448727,0.07070905580904607,0.9803,0.1
10,0.019717977478769348,0.08867754908784078,0.9727,0.1
11,0.014874712607862035,0.0708839493527657,0.9803,0.1
12,0.012585408567425621,0.07104368612506118,0.982,0.1
13,0.00766333256811575,0.06780726919884604,0.9826,0.1
14,0.007711602794535487,0.08272539538534524,0.9779,0.1
15,0.004944251934293226,0.07568146831837273,0.9819,0.1
16,0.0037775001193139125,0.08030692968075319,0.9808,0.1
17,0.0021340918919101155,0.07268191877700568,0.9831,0.1
18,0.0011443922717790905,0.07319696569919276,0.9839,0.1
19,0.000897623474951943,0.07592970980833495,0.9832,0.1
20,0.0006910882890110042,0.07608585475165255,0.9839,0.1
